assignment_id,order_id,driver_id,assigned_date,assigned_status,assigned_address,assigned_city,assigned_state,assigned_zip_code
fec35c71-e3af-4fe6-85f2-e452756443ef,6bf64d8d-ddf3-4aa4-906c-76d3febb72f0,ec4ad8a9-22c0-40d0-ae15-6a9b23bef971,2024-04-09 01:45:03.758441,In Progress,2721 Elizabeth Fork,West Charlesshire,South Dakota,49144
59b7cea1-f2b0-45aa-80d5-357d15f53083,987ecf43-1e50-4bbf-9cf7-f2824127ce0b,5033c886-9644-4e1c-8d4c-da9633a8e9d6,2024-04-08 16:37:38.200131,Completed,54082 Amanda Coves Suite 659,East Jacob,New York,31935
094abb12-4a56-4aaf-b33a-8fa2f2363322,e8e7fb97-f577-498e-a1c2-7f8f717497cc,2485a8d9-7bb4-4604-b84f-7f05b390f605,2024-04-09 05:09:27.906271,Completed,690 Tami Park Suite 040,Kennedymouth,North Dakota,82216
accef490-42db-45c0-a53d-7ecfb9126276,79ce32c1-f219-4fe0-a659-95467ce028aa,ca753409-27e2-481f-9bb8-bdd036f8816d,2024-04-08 16:06:53.995788,In Progress,690 Tami Park Suite 040,Kennedymouth,North Dakota,82216
ca1076fc-1a81-46ec-a2d6-451cb596a74b,445cac01-aece-475c-bfa3-294f205131f0,ca753409-27e2-481f-9bb8-bdd036f8816d,2024-04-09 09:47:58.133606,In Progress,5233 Jones Islands Suite 137,New Morganside,Virginia,06827
4133e22e-54d8-44c0-8b51-2d3a056116ea,862d3ea1-e50c-485a-b010-178de432f471,2485a8d9-7bb4-4604-b84f-7f05b390f605,2024-04-08 23:16:09.884731,Pending,8616 Fisher Crescent,North Jacquelinebury,Kansas,89026
303cd90e-3a46-4648-91f8-a5fe97110300,7ede77ba-20cc-413d-86b7-1da3e674eaa7,2485a8d9-7bb4-4604-b84f-7f05b390f605,2024-04-08 14:00:47.059007,Completed,5233 Jones Islands Suite 137,New Morganside,Virginia,06827
8ea1e549-cfa4-4a07-817e-decbc7af7bb4,eebf7d05-6324-4934-b438-eb76e82cfe30,ca753409-27e2-481f-9bb8-bdd036f8816d,2024-04-09 10:57:20.497660,Completed,2876 Jacob Divide Suite 848,Adambury,Alabama,25516
f2d2e121-5b7c-44d4-8b4a-ebe0393e5d7b,862d3ea1-e50c-485a-b010-178de432f471,997ff3a7-cbd3-41b9-9fae-dae714081a7a,2024-04-09 00:00:24.425010,Pending,8616 Fisher Crescent,North Jacquelinebury,Kansas,89026
dee6eeaf-db1c-4788-a001-72253f8838c7,79ce32c1-f219-4fe0-a659-95467ce028aa,997ff3a7-cbd3-41b9-9fae-dae714081a7a,2024-04-09 02:48:14.062273,In Progress,690 Tami Park Suite 040,Kennedymouth,North Dakota,82216
5c6cf2fc-0fe6-4f00-88ee-b472e48a2126,c5a4f1da-4586-42fc-a56e-cb41f25216e5,2485a8d9-7bb4-4604-b84f-7f05b390f605,2024-04-09 01:44:07.672138,In Progress,339 Garrison Estates,New Michelle,Maine,96524
d5fbb84d-714a-4f2d-82b3-c1ab56b97821,c5a4f1da-4586-42fc-a56e-cb41f25216e5,ec4ad8a9-22c0-40d0-ae15-6a9b23bef971,2024-04-09 06:01:26.773270,Pending,339 Garrison Estates,New Michelle,Maine,96524
1fbf3f4d-a19a-4322-b45c-99e1545c4997,0c699209-fd73-405f-92e1-b6c41c29c9c3,ca753409-27e2-481f-9bb8-bdd036f8816d,2024-04-09 03:30:15.148915,Completed,8541 Beck Greens Apt. 554,New Stephaniemouth,Rhode Island,35667
3d80fc32-7954-4bc1-b41b-acc904a3f106,862d3ea1-e50c-485a-b010-178de432f471,ec4ad8a9-22c0-40d0-ae15-6a9b23bef971,2024-04-08 19:00:53.692337,Completed,8616 Fisher Crescent,North Jacquelinebury,Kansas,89026
e6db3941-a7b4-422b-a245-94badeed23bb,eebf7d05-6324-4934-b438-eb76e82cfe30,997ff3a7-cbd3-41b9-9fae-dae714081a7a,2024-04-08 20:23:56.235389,Completed,2876 Jacob Divide Suite 848,Adambury,Alabama,25516
